Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYearWorked,TenureRatio,ManagerStability,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
24,350,21,2,3,57,2,1,1,2296,10036,0,14,3,2,3,2,3,3,1,1,0,0,765.3333333333334,0.3333333333333333,0.0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
52,1325,11,4,4,82,3,2,3,3149,21821,8,20,4,2,1,9,3,3,5,2,1,4,314.9,0.5,0.6666666666666666,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
36,1480,3,2,4,30,3,1,2,2088,15062,4,12,3,3,0,13,3,2,8,7,7,2,149.14285714285714,0.5714285714285714,0.2222222222222222,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
29,1378,13,2,4,46,2,2,2,4025,23679,4,13,3,1,1,10,2,3,4,3,0,3,365.90909090909093,0.36363636363636365,0.6,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1
28,1300,17,2,3,79,3,2,1,4558,13535,1,12,3,4,1,10,2,3,10,0,1,8,414.3636363636364,0.9090909090909091,0.7272727272727273,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
42,300,2,3,1,56,3,5,3,18880,17312,5,11,3,1,0,24,2,2,22,6,4,14,755.2,0.88,0.6086956521739131,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
21,501,5,1,3,58,3,1,1,2380,25479,1,11,3,4,0,2,6,3,2,2,1,2,793.3333333333334,0.6666666666666666,0.6666666666666666,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
52,723,8,4,3,85,2,2,2,4941,17747,2,15,3,1,0,11,3,2,8,2,7,7,411.75,0.6666666666666666,0.7777777777777778,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
22,604,6,1,1,69,3,1,3,2773,12145,0,20,4,4,0,3,3,3,2,2,2,2,693.25,0.5,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
34,697,3,4,3,40,2,1,4,2979,22478,3,17,3,4,3,6,2,3,0,0,0,0,425.57142857142856,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
36,329,16,4,3,98,2,2,1,5647,13494,4,13,3,1,2,11,3,2,3,2,0,2,470.5833333333333,0.25,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
33,1277,15,1,2,56,3,3,3,13610,24619,7,12,3,4,0,15,2,4,7,6,7,7,850.625,0.4375,0.875,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
22,1230,1,2,4,33,2,2,4,4775,19146,6,22,4,1,2,4,2,1,2,2,2,2,955.0,0.4,0.6666666666666666,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
56,718,4,4,4,92,3,5,1,19943,18575,4,13,3,4,1,28,2,3,5,2,4,2,687.6896551724138,0.1724137931034483,0.3333333333333333,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
29,1329,7,3,3,82,3,2,4,6623,4204,1,11,3,2,2,6,2,3,6,0,1,0,946.1428571428571,0.8571428571428571,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
36,884,1,4,2,73,3,2,3,6815,21447,6,13,3,1,0,15,5,3,1,0,0,0,425.9375,0.0625,0.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
34,1239,13,4,4,39,3,3,3,8628,22914,1,18,3,3,1,9,2,2,8,7,1,1,862.8,0.8,0.1111111111111111,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34,665,6,4,1,41,3,2,3,4809,12482,1,14,3,3,0,16,3,3,16,13,2,10,282.88235294117646,0.9411764705882353,0.5882352941176471,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
50,989,7,2,2,43,2,5,3,18740,16701,5,12,3,4,1,29,2,2,27,3,13,8,624.6666666666666,0.9,0.2857142857142857,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38,903,2,3,3,81,3,2,2,4855,7653,4,11,3,1,2,7,2,3,5,2,1,4,606.875,0.625,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
30,740,1,3,2,64,2,2,1,9714,5323,1,11,3,4,1,10,4,3,10,8,6,7,883.0909090909091,0.9090909090909091,0.6363636363636364,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
44,1099,5,3,2,88,3,5,2,18213,8751,7,11,3,3,1,26,5,3,22,9,3,10,674.5555555555555,0.8148148148148148,0.43478260869565216,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
48,365,4,5,3,89,2,4,4,15202,5602,2,25,4,2,1,23,3,3,2,2,2,2,633.4166666666666,0.08333333333333333,0.6666666666666666,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
58,1145,9,3,2,75,2,1,2,3346,11873,4,20,4,2,1,9,3,2,1,0,0,0,334.6,0.1,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
29,746,2,3,4,61,3,2,3,4649,16928,1,14,3,1,1,4,3,2,4,3,0,2,929.8,0.8,0.4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
34,258,21,4,4,74,4,2,4,5337,19921,1,12,3,4,0,10,3,3,10,7,5,7,485.1818181818182,0.9090909090909091,0.6363636363636364,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
27,1277,8,5,1,87,1,1,3,4621,5869,1,19,3,4,3,3,4,3,3,2,1,2,1155.25,0.75,0.5,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
42,462,14,2,3,68,2,2,3,6244,7824,7,17,3,1,0,10,6,3,5,4,0,3,567.6363636363636,0.45454545454545453,0.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41,1200,22,3,4,75,3,2,4,5467,13953,3,14,3,1,2,12,4,2,6,2,3,3,420.53846153846155,0.46153846153846156,0.42857142857142855,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,1189,3,3,3,87,3,3,4,7428,14506,2,12,3,1,0,12,3,3,5,3,1,3,571.3846153846154,0.38461538461538464,0.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
25,1219,4,1,4,32,3,1,4,3691,4605,1,15,3,2,1,7,3,4,7,7,5,6,461.375,0.875,0.75,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1
33,1146,25,3,2,82,3,2,3,4539,4905,1,12,3,1,1,10,3,2,10,7,0,1,412.6363636363636,0.9090909090909091,0.09090909090909091,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
32,1093,6,4,2,87,3,2,3,5010,24301,1,16,3,1,0,12,0,3,11,8,5,7,385.38461538461536,0.8461538461538461,0.5833333333333334,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
36,852,5,4,2,82,2,1,1,3419,13072,9,14,3,4,1,6,3,4,1,1,0,0,488.42857142857144,0.14285714285714285,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
26,1449,16,4,1,45,3,1,2,2373,14180,2,13,3,4,1,5,2,3,3,2,0,2,395.5,0.5,0.5,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
40,884,15,3,1,80,2,3,3,10435,25800,1,13,3,4,2,18,2,3,18,15,14,12,549.2105263157895,0.9473684210526315,0.631578947368421,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
39,945,22,3,4,82,3,3,1,10880,5083,1,13,3,3,0,21,2,3,21,6,2,8,494.54545454545456,0.9545454545454546,0.36363636363636365,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
48,1262,1,4,1,35,4,4,4,16885,16154,2,22,4,3,0,27,3,2,5,4,2,1,603.0357142857143,0.17857142857142858,0.16666666666666666,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
32,300,1,3,4,61,3,1,4,2314,9148,0,12,3,2,1,4,2,3,3,0,0,2,462.8,0.6,0.5,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
43,930,6,3,1,73,2,2,3,4081,20003,1,14,3,1,0,20,3,1,20,7,1,8,194.33333333333334,0.9523809523809523,0.38095238095238093,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
39,203,2,3,1,84,3,4,4,12169,13547,7,11,3,4,3,21,4,3,18,7,11,5,553.1363636363636,0.8181818181818182,0.2631578947368421,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,871,6,3,4,66,2,1,4,2926,19783,1,18,3,2,0,1,5,3,1,0,1,0,1463.0,0.5,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
39,895,5,3,4,56,3,2,4,2086,3335,3,14,3,3,1,19,6,4,1,0,0,0,104.3,0.05,0.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
34,1320,20,3,3,89,4,1,3,2585,21643,0,17,3,4,0,2,5,2,1,0,0,0,861.6666666666666,0.3333333333333333,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
38,240,2,4,1,75,4,2,1,5980,26085,6,12,3,4,0,17,2,3,15,7,4,12,332.22222222222223,0.8333333333333334,0.75,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
28,760,2,4,2,81,3,2,2,4779,3698,1,20,4,1,0,8,2,3,8,7,7,5,531.0,0.8888888888888888,0.5555555555555556,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
28,1404,17,3,3,32,2,1,4,2367,18779,5,12,3,1,1,6,2,2,4,1,0,3,338.14285714285717,0.5714285714285714,0.6,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
45,1050,9,4,2,65,2,2,3,5593,17970,1,13,3,4,1,15,2,3,15,10,4,12,349.5625,0.9375,0.75,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,1283,1,3,3,52,2,2,1,4294,11148,1,12,3,2,0,7,2,3,7,7,0,7,536.75,0.875,0.875,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
36,429,2,4,3,53,3,2,2,5410,2323,9,11,3,4,0,18,2,3,16,14,5,12,284.7368421052632,0.8421052631578947,0.7058823529411765,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
48,817,2,1,2,56,4,2,2,8120,18597,3,12,3,4,0,12,3,3,2,2,2,2,624.6153846153846,0.15384615384615385,0.6666666666666666,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
43,1473,8,4,3,74,3,2,3,4522,2227,4,14,3,4,0,8,3,3,5,2,0,2,502.44444444444446,0.5555555555555556,0.3333333333333333,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31,1079,10,2,3,86,3,2,4,6583,20115,2,11,3,4,1,8,2,3,5,2,1,4,731.4444444444445,0.5555555555555556,0.6666666666666666,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,735,22,4,3,86,2,2,4,5747,26496,1,15,3,2,0,16,3,3,15,10,6,11,338.05882352941177,0.8823529411764706,0.6875,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
47,465,1,3,1,74,3,1,4,3420,10205,7,12,3,3,1,17,2,2,6,5,1,2,190.0,0.3333333333333333,0.2857142857142857,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
34,285,29,3,2,86,3,2,3,5429,17491,4,13,3,1,2,10,1,3,8,7,7,7,493.54545454545456,0.7272727272727273,0.7777777777777778,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
35,890,2,3,4,97,3,1,4,2014,9687,1,13,3,1,0,2,3,3,2,2,2,2,671.3333333333334,0.6666666666666666,0.6666666666666666,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
38,1084,29,3,4,54,3,2,4,6261,4185,3,18,3,1,1,9,3,1,7,7,1,7,626.1,0.7,0.875,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
23,373,1,2,4,47,3,1,3,1223,16901,1,22,4,4,1,1,2,3,1,0,0,1,611.5,0.5,0.5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
44,920,24,3,4,43,3,1,3,3161,19920,3,22,4,4,1,19,0,1,1,0,0,0,158.05,0.05,0.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
29,468,28,4,4,73,2,1,1,3785,8489,1,14,3,2,0,5,3,1,5,4,0,4,630.8333333333334,0.8333333333333334,0.6666666666666666,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,971,1,3,4,64,2,3,3,7083,12288,1,14,3,4,0,10,3,3,10,9,8,6,643.9090909090909,0.9090909090909091,0.5454545454545454,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
36,1105,24,4,2,47,3,2,2,5674,6927,7,15,3,3,1,11,3,3,9,8,0,8,472.8333333333333,0.75,0.8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
55,177,8,1,4,37,2,4,2,13577,25592,1,15,3,4,1,34,3,3,33,9,15,0,387.9142857142857,0.9428571428571428,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,589,14,2,2,94,3,4,1,17159,5200,6,24,4,3,1,22,3,3,4,1,1,0,746.0434782608696,0.17391304347826086,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
32,1316,2,2,4,38,3,2,3,4998,2338,4,14,3,4,0,10,2,3,8,7,0,7,454.3636363636364,0.7272727272727273,0.7777777777777778,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
32,1318,10,4,4,79,3,2,4,4648,26075,8,13,3,3,0,4,2,4,0,0,0,0,929.6,0.0,0.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
25,883,26,1,3,32,3,2,4,6180,22807,1,23,4,2,0,6,5,2,6,5,1,4,882.8571428571429,0.8571428571428571,0.5714285714285714,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37,674,13,3,1,47,3,2,4,4285,3031,1,17,3,1,0,10,2,3,10,8,3,7,389.54545454545456,0.9090909090909091,0.6363636363636364,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
45,954,2,2,2,46,1,2,3,6632,12388,0,13,3,1,0,9,3,3,8,7,3,1,663.2,0.8,0.1111111111111111,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
33,1198,1,4,3,100,2,1,1,2799,3339,3,11,3,2,0,6,1,3,3,2,0,2,399.85714285714283,0.42857142857142855,0.5,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
31,471,4,3,1,62,4,1,3,3978,16031,8,12,3,2,1,4,0,2,2,2,2,2,795.6,0.4,0.6666666666666666,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,775,29,2,1,45,3,2,3,4306,4267,5,12,3,1,2,8,5,3,0,0,0,0,478.44444444444446,0.0,0.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
46,849,26,2,2,98,2,2,2,7991,25166,8,15,3,3,0,6,3,3,2,2,2,2,1141.5714285714287,0.2857142857142857,0.6666666666666666,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
29,408,23,1,4,45,2,3,1,7336,11162,1,13,3,1,1,11,3,1,11,8,3,10,611.3333333333334,0.9166666666666666,0.8333333333333334,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
21,391,15,2,3,96,3,1,4,1232,19281,1,14,3,4,0,0,6,3,0,0,0,0,1232.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
52,266,2,1,1,57,1,5,4,19845,25846,1,15,3,4,1,33,3,3,32,14,6,9,583.6764705882352,0.9411764705882353,0.2727272727272727,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
37,1017,1,2,3,83,2,1,1,3920,18697,2,14,3,1,1,17,2,2,3,1,0,2,217.77777777777777,0.16666666666666666,0.5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
39,867,9,2,1,87,3,2,1,5151,12315,1,25,4,4,1,10,3,3,10,0,7,9,468.27272727272725,0.9090909090909091,0.8181818181818182,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
27,1291,11,3,3,98,4,1,4,2534,6527,8,14,3,2,1,5,4,3,1,0,0,0,422.3333333333333,0.16666666666666666,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36,1425,14,1,3,68,3,2,4,6586,4821,0,17,3,1,1,17,2,2,16,8,4,11,365.8888888888889,0.8888888888888888,0.6470588235294118,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
49,470,20,4,3,96,3,2,1,6567,5549,1,14,3,3,0,16,2,2,15,11,5,11,386.29411764705884,0.8823529411764706,0.6875,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
45,248,23,2,4,42,3,2,1,3633,14039,1,15,3,3,1,9,2,3,9,8,0,8,363.3,0.9,0.8,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
45,1005,28,2,4,48,2,4,2,16704,17119,1,11,3,3,0,21,2,3,21,6,8,6,759.2727272727273,0.9545454545454546,0.2727272727272727,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
34,878,10,4,4,43,3,1,3,3815,5972,1,17,3,4,1,5,4,4,5,3,2,0,635.8333333333334,0.8333333333333334,0.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
35,219,16,2,4,44,2,2,2,4788,25388,0,11,3,4,0,4,2,3,3,2,0,2,957.6,0.6,0.5,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
33,147,2,3,2,99,3,1,3,3600,8429,1,13,3,4,1,5,2,3,5,4,1,4,600.0,0.8333333333333334,0.6666666666666666,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
